Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607.VacuumArea;VacuumTimeout;121039;I4;EquipmentConstant;ms;Specifies the maximum time which is waited for vacuum.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;GapFeedbackSensorGap;121040;F8;EquipmentConstant;nm;Gap Feedback WEC Sensor Gap.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;GapFeedbackSensorOperationPressure;121041;I4;EquipmentConstant;mbar;Operation pressure of the analog back pressure sensor a.k.a gap feedback sensor;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;GapFeedbackSensorResolutionZ0;121042;F8;EquipmentConstant;nm/inc;Is the gain factor to convert increments to nanometer and vice versa.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;GapFeedbackSensorResolutionZ1;121043;F8;EquipmentConstant;nm/inc;Is the gain factor to convert increments to nanometer and vice versa.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;GapFeedbackSensorResolutionZ2;121044;F8;EquipmentConstant;nm/inc;Is the gain factor to convert increments to nanometer and vice versa.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830.SdbPiston;ForceTolerance;121057;F8;EquipmentConstant;mN;Specifies the tolerance of the piston force in which the extend force must be within.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830.SdbPiston;MaximumPistonForce;121058;I4;EquipmentConstant;N;;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830.SdbPiston;MinimumPistonForce;121059;I4;EquipmentConstant;N;;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830.SdbPiston;SdbPistonForceFeedback;121060;F8;StatusVariable;mN;Is the feedback of the force applied by the SDB piston;not applicable
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830.SdbPiston;SdbPistonForceSetpoint;121061;F8;StatusVariable;mN;Is the setpoint of the force applied by the SDB piston;not applicable
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;TakeoverStressReleaseTime;121062;I4;EquipmentConstant;ms;Specifies the time period the vacuum is switched off to release the loading stress. Value = 0 means no stress release.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;TakeoverVacuumOrder;121063;U1;EquipmentConstant;;Specifies the order in which the vacuum is switched on during loading.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;WECOffsetZ0;121064;F8;EquipmentConstant;nm;Offset will be subtracted from the end sequence position Z0 axis value.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;WECOffsetZ1;121065;F8;EquipmentConstant;nm;Offset will be subtracted from the end sequence position Z1 axis value.;False
GeminiFB.PP2.D.EAM.Machine.TopChuckCollection.CUSVA0830;WECOffsetZ2;121066;F8;EquipmentConstant;nm;Offset will be subtracted from the end sequence position Z2 axis value.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605;MaximumTemperature;121067;F4;EquipmentConstant;°C;Specifies the maximum allowed temperature.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605;MaximumTemperatureTolerance;121068;F4;EquipmentConstant;°C;Specifies the maximum allowed temperature difference between setpoint and sensor.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605;MinimumTemperature;121069;F4;EquipmentConstant;°C;Specifies the minimum allowed temperature (Temperature Reference Sensor + Temperature Offset or 21.5°C if no sensor is configured).;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605;TakeoverStressReleaseTime;121070;I4;EquipmentConstant;ms;Specifies the time period the vacuum is switched off to release the loading stress. Value = 0 means no stress release.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605;TemperatureOffset;121071;F4;EquipmentConstant;°C;Specifies the offset for the minimum and maximum temperature;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605.VacuumArea;DefaultPressure;121072;F8;EquipmentConstant;mbar;Specifies the default pressure setpoint when purging. E.g. 1000 mbar. The pressure value is positive compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605.VacuumArea;DefaultVacuum;121073;F8;EquipmentConstant;mbar;Specifies the default vacuum setpoint when evacuating. E.g. -800 mbar. The vacuum value is negative compared to the ambient pressure.;False
